"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.504221954E0,4.951852570E0,8.915011139E0,1.030829526E1
1.003999999E-2,-1.151854706E0,4.767735443E0,8.928932190E0,1.018743837E1
2.011100000E-2,-1.146016846E0,4.449796600E0,9.121431885E0,1.021345015E1
3.018199999E-2,-1.073268127E0,4.301604767E0,8.784332886E0,9.839726230E0
4.022200000E-2,-5.876779175E-1,4.306694183E0,8.540789337E0,9.583217759E0
5.029300000E-2,-5.158273315E-1,4.274660797E0,8.611592102E0,9.627996744E0
6.036400000E-2,-6.849755859E-1,4.183350677E0,8.692124634E0,9.670710682E0
7.040400000E-2,-9.892927551E-1,4.179009705E0,8.927734680E0,9.906930341E0
8.047500000E-2,-1.187779999E0,4.357588348E0,8.895102539E0,9.976083737E0
9.054600000E-2,-1.098565521E0,4.491559753E0,8.673712921E0,9.829254858E0
1.006160000E-1,-8.187973022E-1,4.312681732E0,8.567733307E0,9.626822257E0
1.106570000E-1,-7.939489746E-1,3.992647247E0,8.621770935E0,9.534491128E0
1.207270000E-1,-1.095422058E0,3.883224792E0,8.752299500E0,9.637537590E0
1.307980000E-1,-1.135987701E0,3.955374756E0,8.729995880E0,9.651335948E0
1.408390000E-1,-9.274713135E-1,3.907624054E0,8.805738373E0,9.678365413E0
1.509090000E-1,-3.553610229E-1,3.702251129E0,8.914861450E0,9.659591066E0
1.609800000E-1,5.523513794E-1,3.495680695E0,9.108558655E0,9.771935138E0
1.710200000E-1,1.195863190E0,3.203039246E0,9.082213440E0,9.704439713E0
1.810910000E-1,1.194216614E0,2.808010712E0,9.109307098E0,9.606797244E0
1.911620000E-1,6.738986206E-1,2.702480164E0,9.489516449E0,9.889816016E0
2.012020000E-1,2.062710571E-1,2.822081451E0,9.570647736E0,9.980179835E0
2.112730000E-1,-1.401086426E-1,2.879262543E0,9.973909149E0,1.038213114E1
2.213440000E-1,-9.957293701E-1,3.142415314E0,1.017269577E1,1.069345549E1
2.313840000E-1,-1.347348175E0,3.419489136E0,1.032268387E1,1.095746573E1
2.414550000E-1,-5.102888489E-1,3.230581970E0,1.045201492E1,1.095178846E1
2.515260000E-1,4.878355408E-1,2.745291138E0,1.015533188E1,1.053116197E1
2.615660000E-1,1.295406189E0,2.612517242E0,9.777367859E0,1.020295280E1
2.716370000E-1,1.595831451E0,3.052901459E0,8.413553925E0,9.091467152E0
2.817080000E-1,2.105521545E0,3.219355316E0,7.670050049E0,8.580625699E0
2.917780000E-1,4.086651764E0,2.181264038E0,8.095615082E0,9.327251417E0
3.018190000E-1,5.905968475E0,9.210346985E-1,8.094716949E0,1.006246546E1
3.118900000E-1,6.479126587E0,5.074447632E-2,7.552544403E0,9.951009159E0
3.219600000E-1,6.495742035E0,-6.466552734E-2,7.346722412E0,9.806792361E0
3.320010000E-1,7.433990936E0,7.321275330E-1,6.423442383E0,9.851946204E0
3.420710000E-1,7.112459564E0,1.215622101E0,5.521717529E0,9.085933228E0
3.521420000E-1,6.431974640E0,1.036893768E0,4.226311340E0,7.765768088E0
3.621830000E-1,5.980064392E0,7.725434875E-1,3.083437958E0,6.772413396E0
3.722530000E-1,3.864513702E0,-8.104147339E-1,1.565744019E0,4.247680841E0
3.823240000E-1,-1.780247955E0,-4.579726410E0,-1.013542328E0,5.017015529E0
3.923640000E-1,-6.860832825E0,-8.207133179E0,-3.155887299E0,1.115292279E1
4.024350000E-1,-1.496138763E0,-4.411925354E0,-1.655407562E0,4.944076327E0
4.125060000E-1,5.157824249E0,-1.672771454E0,-1.270857239E-1,5.423787063E0
4.225460000E-1,6.364764404E0,-4.220174103E0,-1.598825226E0,7.802328978E0
4.326170000E-1,5.980663147E0,-5.869594116E0,-2.373314667E0,8.709367903E0
4.426880000E-1,5.690566406E0,-5.700445862E0,-3.484753418E-1,8.062199707E0
4.527590000E-1,3.700454865E0,-5.621559906E0,2.135159912E0,7.060751365E0
4.627990000E-1,3.254831543E0,-5.753884735E0,2.244282990E0,6.981255192E0
4.728700000E-1,4.339176636E0,-6.492299194E0,1.058299255E0,7.880253804E0
4.829410000E-1,5.194647675E0,-6.946604462E0,1.683848419E0,8.836007215E0
4.929810000E-1,5.922434235E0,-6.939120026E0,2.757266235E0,9.530431842E0
5.030520000E-1,6.703060913E0,-7.262447662E0,3.366349640E0,1.044061691E1
5.131220000E-1,7.664212189E0,-7.515421600E0,4.167034607E0,1.151459455E1
5.231630000E-1,9.177415466E0,-7.373217316E0,4.934488678E0,1.276473528E1
5.332340000E-1,1.100900665E1,-7.058122559E0,5.408702545E0,1.415165661E1
5.433040000E-1,1.280976196E1,-6.389612732E0,5.662275238E0,1.539410645E1
5.533450000E-1,1.455198898E1,-5.724994812E0,5.575006714E0,1.660170620E1
5.634150000E-1,1.689970688E1,-5.217400360E0,5.469326477E0,1.851310053E1
5.734860000E-1,2.019091278E1,-4.373006287E0,5.409450989E0,2.135552160E1
5.835270000E-1,2.278876053E1,-2.858306122E0,4.078568573E0,2.332664232E1
5.935970000E-1,2.375110931E1,-9.955796814E-1,2.561772766E0,2.390960167E1
6.036680000E-1,2.393911835E1,3.659889221E-1,1.661395111E0,2.399949101E1
6.137390000E-1,2.467079681E1,9.392967224E-1,7.906558228E-1,2.470132851E1
6.237790000E-1,2.493888931E1,1.374591522E0,-3.936813354E-2,2.497677425E1
6.338500000E-1,2.433639221E1,1.779200134E0,-1.144969025E0,2.442819054E1
6.439210000E-1,2.310235840E1,1.588197327E0,-2.422861633E0,2.328328999E1
6.539610000E-1,2.143901733E1,1.196461945E0,-3.508703613E0,2.175715943E1
6.640320000E-1,1.987566833E1,1.004111938E0,-4.194876709E0,2.033832400E1
6.741030000E-1,1.841440704E1,7.442523193E-1,-4.624034271E0,1.900068397E1
6.841430000E-1,1.691796890E1,4.480183411E-1,-4.823569336E0,1.759787525E1
6.942140000E-1,1.622116791E1,-1.294807434E-1,-5.039121094E0,1.698634142E1
7.042850000E-1,1.573138641E1,-4.334985352E-1,-5.510939941E0,1.667437850E1
7.143250000E-1,1.554038361E1,-5.144801331E-1,-5.941295013E0,1.664533565E1
7.244128333E-1,1.597762436E1,-1.526824951E0,-6.872957611E0,1.746004642E1
7.344828333E-1,1.563124466E1,-2.905907135E0,-7.717800751E0,1.767327231E1
7.445238333E-1,1.381746643E1,-4.774770813E0,-7.818990326E0,1.657882458E1
7.545948333E-1,1.260858032E1,-5.035378876E0,-7.667954407E0,1.559259000E1
7.646648333E-1,1.206790466E1,-4.246519318E0,-8.119565277E0,1.515237901E1
7.747058333E-1,1.204709793E1,-3.814817047E0,-8.287665710E0,1.511194232E1
7.847758333E-1,1.208032883E1,-2.858605499E0,-7.910001068E0,1.471985349E1
7.948468333E-1,1.134326157E1,-2.994223480E0,-6.741381226E0,1.353074935E1
8.049178333E-1,1.080303497E1,-3.817062378E0,-5.740263062E0,1.281507510E1
8.149578333E-1,9.357191620E0,-3.027903442E0,-4.719984741E0,1.090887209E1
8.250288333E-1,7.253166962E0,-2.460583191E0,-3.924239502E0,8.605960509E0
8.350998333E-1,5.774691467E0,-2.509830780E0,-3.546125793E0,7.226432054E0
8.451398333E-1,4.272265778E0,-2.091301117E0,-3.208877106E0,5.737829513E0
8.552108333E-1,3.994144135E0,-1.021176453E0,-3.261567535E0,5.256787184E0
8.652818333E-1,5.022206268E0,-3.173400879E-2,-3.420237579E0,6.076313681E0
8.753218333E-1,5.906866608E0,1.845362549E0,-3.694018250E0,7.207094205E0
8.853928333E-1,6.331383820E0,3.347189484E0,-3.437002716E0,7.943745098E0
8.954638333E-1,6.836283875E0,2.806813202E0,-2.857407990E0,7.923241633E0
9.055038333E-1,7.817792816E0,1.321152649E0,-2.478845215E0,8.307105539E0
9.155748333E-1,8.166118469E0,1.995350647E-1,-1.216819611E0,8.258689670E0
9.256458333E-1,8.237370300E0,3.561094666E-1,-1.637295227E0,8.406058475E0
9.356858333E-1,9.326954498E0,8.592132568E-1,-2.871179352E0,9.796631998E0
9.457568333E-1,9.994416504E0,2.315983887E0,-4.379442902E0,1.115489412E1
9.558268333E-1,1.059975769E1,3.239563293E0,-5.275180206E0,1.227506251E1
9.658978333E-1,1.129356491E1,3.697012024E0,-5.723946991E0,1.318999907E1
9.759388333E-1,1.161180313E1,4.849166107E0,-5.044659576E0,1.355717427E1
9.860088333E-1,1.046833099E1,2.332599335E0,-1.959575043E0,1.090261014E1
9.960798333E-1,1.067879333E1,-1.375339966E0,1.938618622E0,1.094012931E1
1.006119833E0,1.113354767E1,-1.959275665E0,1.382075958E0,1.138880059E1
1.016190833E0,1.136736145E1,-3.315006409E0,-1.848655701E-1,1.184231181E1
1.026261833E0,1.168979095E1,-6.735992432E0,1.347198486E-2,1.349166365E1
1.036301833E0,9.590256958E0,-9.167835388E0,-4.728666687E-1,1.327576126E1
1.046372833E0,6.834337921E0,-9.948462067E0,-5.390290833E-1,1.208183035E1
1.056443833E0,6.997798004E0,-1.113534393E1,2.263293457E-1,1.315356554E1
1.066483833E0,7.727380829E0,-1.238943604E1,1.373843079E0,1.466621916E1
1.076554833E0,8.475525055E0,-1.150732040E1,3.824995880E0,1.479471329E1
1.086625833E0,9.859097900E0,-9.183253326E0,6.529122620E0,1.497208720E1
1.096665833E0,9.883197784E0,-9.175020447E0,2.884651337E0,1.379056968E1
1.106736833E0,8.505762177E0,-1.080063995E1,-3.400628357E0,1.416213567E1
1.116807833E0,8.591683502E0,-9.776918793E0,-4.730313263E0,1.384850281E1
1.126877833E0,1.025502457E1,-6.194718018E0,-5.783972168E-1,1.199477401E1
1.136918833E0,8.587043152E0,-4.017046509E0,7.214996338E-1,9.507604034E0
1.146989833E0,9.545350342E0,-6.182593231E0,-2.572700043E0,1.166005822E1
1.157059833E0,1.183259399E1,-5.657784576E0,-3.064876556E0,1.346901167E1
1.167100833E0,9.264833679E0,-3.231330414E0,-2.508782959E0,1.012781473E1
1.177170833E0,8.080496521E0,-3.682492218E0,-2.332449646E0,9.181257774E0
1.187241833E0,1.231593887E1,-4.431384888E0,-1.319655762E0,1.315526563E1
1.197282833E0,1.863669479E1,-6.477030945E-1,5.721102905E-1,1.865672057E1
1.207352833E0,1.897424286E1,3.822900238E0,1.693727875E0,1.942949234E1
1.217423833E0,1.424363022E1,4.765939178E0,2.440075836E0,1.521673908E1
1.227463833E0,1.014320709E1,3.789519653E0,2.484234009E0,1.110929916E1
1.237534833E0,7.199129333E0,2.941682739E0,2.183209991E0,8.077584191E0
1.247605833E0,6.030359802E0,2.749183044E0,2.330354004E0,7.025225729E0
1.257645833E0,7.053631897E0,2.554288330E0,2.240989838E0,7.829441057E0
1.267716833E0,7.866591339E0,4.929848328E0,7.719447327E-1,9.315715888E0
1.277787833E0,8.456215210E0,6.618187408E0,-8.785231018E-1,1.077403281E1
1.287858833E0,1.160342056E1,7.681875458E0,-2.006726990E0,1.405978423E1
1.297898833E0,1.467608093E1,7.291187897E0,-2.261946259E0,1.654282846E1
1.307969833E0,1.403780823E1,4.348906403E0,-1.736089783E0,1.479821119E1
1.318040833E0,1.233464996E1,1.770667877E0,-1.173559570E0,1.251623332E1
1.328080833E0,1.111109436E1,-5.120851135E-1,2.025288391E-1,1.112473222E1
1.338151833E0,9.805808716E0,-2.813100128E0,2.958747253E0,1.062175137E1
1.348221833E0,8.307424622E0,-4.684508514E0,5.709726562E0,1.111570516E1
1.358262833E0,5.922733612E0,-6.326743469E0,7.361840973E0,1.137115469E1
1.368333833E0,3.975433044E0,-8.081394653E0,8.676706696E0,1.250592845E1
1.378403833E0,-5.712121582E-1,-7.838150482E0,8.708590393E0,1.173040634E1
1.388444833E0,-5.341192932E0,-7.112908630E0,7.789501648E0,1.182362665E1
1.398514833E0,-5.992338867E0,-7.298672333E0,5.917793884E0,1.114446174E1
1.408585833E0,-6.640940094E0,-8.813222809E0,3.740272064E0,1.165180744E1
1.418626833E0,-8.329728241E0,-1.065918411E1,-1.584604797E0,1.362033593E1
1.428696833E0,-8.194559326E0,-1.399784134E1,-8.269104309E0,1.820627504E1
1.438767833E0,-3.798800354E0,-1.427865738E1,-7.591762848E0,1.661161653E1
1.448807833E0,1.314566345E1,-8.377928009E0,-5.713917847E0,1.660262035E1
1.458878833E0,1.826771210E1,-4.863087158E0,-4.440066833E0,1.941837057E1
1.468949833E0,1.004366409E1,-8.678802338E0,-3.529809723E0,1.373522315E1
1.479020833E0,4.700076141E0,-1.167512146E1,-3.081791382E0,1.295749262E1
1.489060833E0,1.385668488E0,-1.335208420E1,-2.811902618E0,1.371513857E1
1.499131833E0,2.562670898E-1,-1.428344742E1,-2.765050049E0,1.455087780E1
1.509202833E0,4.222718811E-1,-1.409513901E1,-2.811603241E0,1.437902535E1
1.519242833E0,2.178569641E0,-1.050425629E1,-3.093467102E0,1.116490504E1
1.529313833E0,2.277064819E0,-8.526119843E0,-3.043321381E0,9.334963781E0
1.539384833E0,8.771759033E-1,-8.878187714E0,-2.335293732E0,9.221998236E0
1.549424833E0,7.988887024E-1,-9.599387970E0,-1.472787323E0,9.744515127E0
1.559495833E0,1.525328064E0,-1.018841309E1,-7.878117371E-1,1.033203921E1
1.569565833E0,4.421206055E0,-1.051308792E1,-4.218228149E-1,1.141271287E1
1.579606833E0,1.117396362E1,-9.557175751E0,-1.760339355E-1,1.470469515E1
1.589677833E0,1.681258804E1,-7.368127899E0,3.234773254E-1,1.835911390E1
1.599747833E0,1.598226471E1,-7.260801086E0,1.127455444E0,1.759042846E1
1.609788833E0,1.170685547E1,-9.801467743E0,2.765349426E0,1.551664888E1
1.619858833E0,7.311844940E0,-1.329355591E1,5.189408569E0,1.603470194E1
1.629929833E0,3.607647858E0,-1.498937943E1,6.308780823E0,1.665825123E1
1.640000833E0,1.497186584E0,-1.458566895E1,6.190975800E0,1.591576224E1
1.650040833E0,1.790576477E0,-1.322739349E1,5.525908813E0,1.444665259E1
1.660111833E0,2.262844391E0,-1.185250259E1,4.447102203E0,1.285997669E1
1.670182833E0,2.383493500E0,-1.121722366E1,2.932102661E0,1.183656935E1
1.680222833E0,1.997895355E0,-1.270333328E1,1.996548157E0,1.301354936E1
1.690293833E0,1.456471252E0,-1.634870270E1,2.303260345E0,1.657426911E1
1.700364833E0,4.535568237E-1,-1.931283875E1,2.176773376E0,1.944041657E1
1.710404833E0,-6.914122009E-1,-2.033790710E1,1.217568054E0,2.038604886E1
1.720475833E0,-1.969604187E0,-1.912587753E1,1.481918335E-2,1.922703180E1
1.730563708E0,-2.692600708E0,-1.583871323E1,-8.813671875E-1,1.609011322E1
1.740603708E0,-3.322041779E0,-1.281859360E1,-1.391955414E0,1.331502322E1
1.750674708E0,-3.790866852E0,-1.062954575E1,-1.558109894E0,1.139234922E1
